[(-0.185862 0.00438321 0.982566), (-0.195548 -0.15306 0.968676)	(-0.172064 -0.111387 0.978768), (-0.246793 0.0170025 0.968919)	(-0.190549 -0.0899312 0.97755), (-0.113527 0.0126327 0.993455)], [(-0.183681 -0.139574 0.973026), (-0.0599209 -0.324475 0.943994)	(-0.0532487 -0.210259 0.976195), (-0.0124122 0.0371022 0.999234)	(0.0687673 0.101171 0.992489), (-0.0811871 0.30495 0.948902)], [(-0.0862969 0.173779 0.980996), (-0.120391 -0.0387355 0.99197)	(-0.309961 -0.236047 0.920981), (-0.282674 0.161874 0.945459)	(-0.10837 0.159559 0.981222), (-0.0212474 0.233764 0.972061)]
[(-0.298913 0.0228148 0.954008), (-0.171547 -0.235407 0.956637)	(-0.0760544 0.0434962 0.996154), (-0.236736 0.0392934 0.970779)	(-0.22504 0.00437602 0.97434), (-0.353796 -0.0672784 0.9329)], [(-0.387387 0.0411423 0.920999), (-0.228693 0.133235 0.964338)	(-0.194126 0.171125 0.965935), (-0.259054 -0.0550781 0.964291)	(-0.0826099 0.140514 0.986626), (-0.289025 0.183707 0.93953)], [(-0.374223 0.0888606 0.923071), (-0.200574 0.108901 0.973607)	(0.0312374 -0.0847152 0.995915), (0.0148968 0.0525263 0.998509)	(-0.208333 0.0135104 0.977965), (-0.395519 -0.0470881 0.91725)]
[(0.0751969 -0.147754 0.986161), (-0.0428019 -0.0728131 0.996427)	(-0.140258 0.10216 0.98483), (-0.115023 0.108554 0.987414)	(-0.175739 0.0597593 0.982621), (0.204136 -0.0231901 0.978668)], [(-0.0777229 0.0957074 0.99237), (-0.153937 0.128973 0.979627)	(-0.0472783 0.116355 0.992082), (0.18632 0.0129246 0.982404)	(0.0318331 -0.177174 0.983665), (0.0603048 0.130022 0.989676)], [(-0.0565936 0.170939 0.983655), (0.135432 0.121637 0.983292)	(-0.0160845 -0.0671178 0.997615), (-0.0488239 0.0765951 0.995866)	(0.0825121 0.0123045 0.996514), (0.0406442 0.0786586 0.996073)]
[(-0.131755 0.113935 0.984713), (-0.152587 -0.0672522 0.985999)	(0.0719308 0.271426 0.959768), (-0.0494481 0.251005 0.966722)	(-0.0196178 0.0801603 0.996589), (0.0305829 0.0975149 0.994764)], [(-0.266707 0.11579 0.956797), (-0.0931636 0.0401112 0.994842)	(0.125295 0.240121 0.962623), (0.0751571 0.170565 0.982476)	(-0.0682657 0.0219822 0.997425), (-0.168039 0.167428 0.971458)], [(-0.096917 -0.00276053 0.995289), (0.0247241 0.102474 0.994428)	(-0.116984 0.0878152 0.989244), (0.0517211 0.160893 0.985616)	(0.169929 0.154589 0.973256), (0.0319515 0.0640706 0.997434)]
[(-0.00641581 -0.0623096 0.998036), (0.0215325 0.0750812 0.996945)	(-0.0403577 0.0153593 0.999067), (-0.0212578 -0.170266 0.985169)	(0.0386723 -0.00419417 0.999243), (0.045461 0.0864983 0.995214)], [(-0.0101457 -0.0283902 0.999545), (0.0435939 -0.0694135 0.996635)	(0.132577 0.0348093 0.990561), (0.0391166 -0.108262 0.993353)	(0.0821341 -0.0191387 0.996437), (-0.0890139 -0.128649 0.987687)], [(-0.00196143 -0.0346696 0.999397), (-0.106657 -0.0349875 0.99368)	(-0.187806 0.143216 0.971709), (0.0964062 -0.0539647 0.993878)	(-0.14659 -0.052997 0.987777), (-0.0559771 0.0605444 0.996595)]
[(-0.00111311 0.136982 0.990573), (-0.109746 0.0972728 0.989188)	(-0.115168 0.272493 0.95524), (0.052787 0.227937 0.972244)	(-0.0567897 0.316069 0.947035), (-0.141946 0.287806 0.947111)], [(-0.0218982 0.0982171 0.994924), (-0.107337 -0.0532243 0.992797)	(-0.18946 -0.0807011 0.978566), (-0.112739 0.190224 0.975246)	(-0.0457178 0.111048 0.992763), (-0.189721 0.188833 0.963508)], [(-0.209337 0.121229 0.9703), (0.0152637 0.0743432 0.997116)	(-0.0558867 0.0840101 0.994896), (-0.060428 0.0586436 0.996448)	(0.047439 0.0462365 0.997804), (-0.240171 0.0781195 0.967582)]
[(-0.0702889 0.0354465 0.996897), (-0.0762354 0.105043 0.991541)	(0.0548809 0.0714051 0.995936), (0.0422011 -0.014603 0.999002)	(0.0179634 -0.113591 0.993365), (0.0697259 0.0724321 0.994933)], [(0.149263 -0.0191891 0.988611), (0.048079 0.071717 0.996266)	(-0.128033 0.086024 0.988032), (-0.174271 -0.0892366 0.980646)	(-0.177052 -0.00601066 0.984183), (-0.0308892 -0.0365563 0.998854)], [(0.114548 -0.00108341 0.993417), (0.00424947 0.128888 0.99165)	(-0.0458081 0.0984595 0.994086), (-0.113243 -0.211171 0.970867)	(0.141771 -0.0340269 0.989314), (0.168072 0.0875148 0.981882)]
[(-0.0735666 -0.154306 0.98528), (-0.197992 -0.122983 0.972458)	(-0.0282518 0.0486453 0.998416), (-0.214351 -0.0183256 0.976585)	(-0.0478621 0.22111 0.974074), (0.0109987 0.0997488 0.994952)], [(-0.0902531 0.195319 0.976578), (-0.0177582 0.100656 0.994763)	(-0.0397981 -0.0228767 0.998946), (0.137056 0.0958941 0.985911)	(0.0796515 -0.203188 0.975895), (-0.0120915 -0.108737 0.993997)], [(-0.162904 -0.312202 0.935945), (0.0465665 -0.127206 0.990783)	(0.073208 -0.114198 0.990757), (0.0700559 0.0800739 0.994324)	(0.0304818 0.0674546 0.997257), (-0.0911069 -0.0340518 0.995259)]
[(-0.162331 -0.238856 0.95739), (0.0979319 -0.0210896 0.99497)	(0.0897108 0.00175529 0.995966), (-0.013814 0.1222 0.992409)	(-0.0906732 0.00173128 0.995879), (-0.218918 -0.0462065 0.974649)], [(0.0878075 -0.0674484 0.993851), (0.0664676 -0.184218 0.980635)	(-0.226038 -0.0618427 0.972154), (-0.085273 -0.0659958 0.99417)	(-0.133229 0.141381 0.980949), (-0.05625 -0.124531 0.99062)], [(-0.284868 0.0273512 0.958176), (-0.268317 -0.11646 0.956265)	(-0.0318879 -0.210625 0.977047), (-0.034503 -0.0284919 0.998998)	(-0.11274 -0.250585 0.961508), (-0.24919 -0.0331063 0.967888)]
[(0.111477 -0.0837692 0.99023), (-0.0773397 -0.091789 0.992771)	(-0.185223 -0.160609 0.969483), (0.0156574 -0.218802 0.975644)	(-0.0378235 0.0114315 0.999219), (-0.0261841 -0.0314176 0.999163)], [(-0.000750042 -0.0597949 0.99821), (-0.130913 -0.117502 0.984406)	(-0.161993 0.0751297 0.983928), (0.100703 0.0102045 0.994864)	(-0.0835956 -0.0436858 0.995542), (0.207001 -0.0119438 0.978268)], [(0.0497794 -0.0983007 0.993911), (0.0537192 0.0111466 0.998494)	(0.0112326 -0.118188 0.992928), (-0.10743 -0.0105735 0.994156)	(-0.133294 -0.0729143 0.988391), (-0.00898857 -0.159807 0.987107)]
